ChangeDue,Discounts,Subtotal,GrandTotal,ExternalId
34,,6600,66,63704614
5,,3500,35,63704128
3.98,9.98,8600,76.02,63701256
,29.94,15000,120.06,63699322
12,7,3500,28,
,,12500,125,63699345
5,,7500,75,63695413
,5,2500,20,
,4,2000,16,
,230.11,52011,290,63693370
,,3000,30,
,,4500,45,
,29.94,15000,120.06,63687264
,15.04,14004,125,63684167
,,1800,18,63682867
,188.05,45305,265,63684374
,,1000,10,63681735
,,3400,34,63670173
,,3500,35,63667488
,,2500,25,63666712
19,,2100,21,63666191
10,,3000,30,63664082
26,,7400,74,63662952
1,,7900,79,63660795
10,,3000,30,63659268
5,,3500,35,63658708
,,10000,100,
,,8000,80,63655743
,,6000,60,63655647
15,,14500,145,
,,18600,186,63651045
14,,8600,86,63648116
,40.04,14004,100,63646076
,,3400,34,63643967
,,2500,25,63643143
10,,3000,30,63642116
,,8900,89,63641026
,,3000,30,
11,,2900,29,63640450
5,,3500,35,63636740
10,,9000,90,63636359
,,2500,25,63636191
45,,15500,155,63635792
,,7000,70,63634842
,25.05,11005,85,63629991
,30,14000,110,63628279
,9.98,5000,40.02,63626997
,,5400,54,63626850
,,4200,42,63625745
16,,4400,44,63624118
,,4000,40,63622823
5,,3500,35,63620681
,,5700,57,63620405
,,9400,94,63619980
10,,1000,10,63612798
,,10500,105,63607649
,,14000,140,
,,6000,60,63600225
10,,1000,10,63596669
2,,1800,18,63596524
8,,7200,72,63593898
18,,4200,42,63593275
26,11.97,3597,24,63592250
10,,7000,70,
5,,5500,55,
14,9.98,5598,46,63582119
,,4200,42,63581868
,,2500,25,
6,,3400,34,63576755
,30.03,24503,215,63572091
,,1000,10,63571740
,,1000,10,63571722
,,2200,22,63571293
11,,4900,49,63565117
4,,2100,21,63556249
8,,7200,72,63554364
,,2500,25,
3,,1700,17,63549101
,35,7000,35,63547067
,,5700,57,63544795
,,1000,10,63538932
5,,1500,15,63538121
4,,3100,31,63537423
,,1000,10,63535451
,,1000,10,63533181
1,,1900,19,63533110
,,3000,30,
,,9000,90,63529382
5,,5500,55,
15,,2500,25,
5,,13500,135,63520125
16,,2400,24,63519422
,,5000,50,63517517
,,2500,25,
,9.98,5000,40.02,63509944
10,,1000,10,63509077
,,2500,25,
15,,6500,65,63496805
,10,7000,60,
,,11000,110,
,,2100,21,63495490
1,,5900,59,63495332
,,7000,70,
10,,3000,30,
10,,3000,30,63491462
15,,2500,25,
7.5,,33250,332.5,63488812
,,6000,60,63488228
10,,5000,50,63480256
15,,10500,105,63480102
,12,5300,41,63478079
,,3000,30,63471562
,,3000,30,63470992
,,2000,20,
,,3500,35,63465563
15,,2500,25,
,,500,5,63461085
5,,2500,25,63460444
4,,3600,36,63458876
,31.02,15602,125,63458568
3,,5200,52,63456125
10,,9000,90,
,,1000,10,63454276
30,,7000,70,63451583
16,,12400,124,63446543
50,,5000,50,63427897
,,2500,25,63427510
10,,5000,50,63423774
10,,3000,30,
,,7500,75,63420784
4,,4600,46,63417535
15,,2500,25,63417297
,,3000,30,
,,500,5,63395214
,,3500,35,
3,,9700,97,63387630
,,2000,20,63383003
,,3000,30,63382464
,,5500,55,
40,,6000,60,63377222
,,600,6,63375939
,,4500,45,
10,,5000,50,63375224
,,3000,30,63374635
14,,4600,46,63374503
,,1000,10,63372721
5,,500,5,63374263
10,,7000,70,63370813
10,,1000,10,63369988
5,,3500,35,63369682
,,6000,60,63368672
,,2500,25,
,,1000,10,63365648
13,,700,7,63365082
,,6000,60,63365014
,,5000,50,63364875
,,14000,140,63364792
15,,2500,25,
,,3000,30,
2,,4800,48,63359333
16,,2400,24,63359049
10,,3000,30,63358067
,,4500,45,63358671
10,,3000,30,63344333
,,8500,85,63343341
,,19500,195,
,,500,5,63338287
,,2100,21,63335244
,,6000,60,63335138
5,,3500,35,63334786
,,3000,30,63334724
,,4500,45,63331443
58,,4200,42,63331136
10,,3000,30,63329313
10,,3000,30,63323323
,,4400,44,63322137
70,,3000,30,63318320
,,2900,29,63314898
15,,3500,35,
5,,2500,25,
,,4000,40,
,,70,0.7,63310404
,,20,0.2,63309321
,,20,0.2,63308749
,,20,0.2,63308690
,9.98,5000,40.02,63308422
,,10,0.1,63307561
,,3006,30.06,63307523
,,2000,20,63304204
,,3600,36,63303823
15,,2500,25,
,,6000,60,63291913
,,1000,10,63290926
10,,1000,10,63289442
,,500,5,63288895
6,,4400,44,63289911
,,4400,44,63286766
40,,6000,60,63286023
,,3000,30,
,,2500,25,
,,6000,60,63280860
,,8000,80,63277240
,,1000,10,63276411
,,3000,30,
10,,5000,50,63263267
,,10000,100,63261523
,,2500,25,
,,6000,60,63260826
,,16600,166,63262175
,,7000,70,63259343
,,2000,20,63253393
,,3000,30,63243830
,,3500,35,63242148
5,,2500,25,63244220
8,,1200,12,63240294
,,6000,60,
,9.98,7100,61.02,63238035
,,8000,80,63236243
5,,3500,35,63225588
,,4400,44,63223693
,,23,0.23,63220763
,,44,0.44,63220678
,,3000,30,
,,46,0.46,63220370
,,85,0.85,63219467
,,42,0.42,63218959
,,57,0.57,63218809
,,23,0.23,63218574
10,,9000,90,63217839
48,,5200,52,63217737
,,71,0.71,63218002
,,21,0.21,63215647
,,15,0.15,63215137
10,,7000,70,63215035
,,4,0.04,63214973
,,14100,141,63209314
10,,3000,30,
,10.02,3002,20,63199599
,,2,0.02,63214783
,,10000,100,63192356
13,15.02,12202,107,63190057
5,,3500,35,63185570
7,,3300,33,63183746
,,2,0.02,63214801
5,,5500,55,63176941
,,1200,12,63176498
,,44,0.44,63176253
,,1041,10.41,63175942
,,42,0.42,63175999
,,38,0.38,63175754
,,48,0.48,63175683
,,54,0.54,63174624
,,39,0.39,63174448
,,42,0.42,63174343
,,1043,10.43,63173358
56,,4400,44,63172235
,,42,0.42,63171476
,,33,0.33,63171360
15,,2500,25,63171237
,,30,0.3,63170345
,,16,0.16,63170141
,,25,0.25,63170074
,,30,0.3,63169952
,,42,0.42,63169891
,,42,0.42,63169811
,,42,0.42,63169738
,,1800,18,63169011
,,14,0.14,63168955
,,42,0.42,63168869
,,42,0.42,63168807
,,42,0.42,63168700
,,42,0.42,63168510
,,45,0.45,63168457
,,39,0.39,63168315
,,27,0.27,63167615
,,8,0.08,63167441
,,8,0.08,63167383
,,8,0.08,63167348
,,6,0.06,63167238
,,12,0.12,63167162
,,43,0.43,63167057
,,66,0.66,63166475
,,1045,10.45,63166281
,,34,0.34,63166151
,,10000,100,63165938
,,17,0.17,63165860
,,12,0.12,63165154
,,6,0.06,63165115
,,45,0.45,63165085
,,500,5,63152883
15,,2500,25,
,,500,5,63152337
15,,500,5,63152000
,,1000,10,63150250
,,500,5,63142432
,,1500,15,63140992
,,3000,30,
15,,2500,25,
,,10000,100,
10,,1000,10,63134093
,,2500,25,
,,3500,35,63132877
1,,1400,14,63132871
,,42000,420,63132753
,,1500,15,63132488
,,6000,60,
,,3320,33.2,63131041
,,49,0.49,63130137
,,73,0.73,63130071
,,70,0.7,63129927
,,50,0.5,63129814
,,51,0.51,63129660
,,56,0.56,63129576
,,34,0.34,63129388
,,31,0.31,63129167
5,,3500,35,63127246
,,30,0.3,63127074
,,7517,75.17,63124622
,105.98,24598,140,63124106
,,28,0.28,63124673
,,28,0.28,63122900
,,28,0.28,63122595
,,28,0.28,63122546
,,33,0.33,63121936
,,38,0.38,63121047
,,2037,20.37,63120961
,,5600,56,63117936
,,35,0.35,63102208
10,34.08,10408,70,63101032
5,,5500,55,63098663
,,13,0.13,63095346
10,,1000,10,63094242
16,,4400,44,63092640
,34.02,27402,240,63092483
,,1000,10,63091871
3,,1700,17,63091435
5,,3500,35,
,,11200,112,63087274
,,4500,45,63087137
,,8,0.08,63085040
,,1012,10.12,63084735
5,,3500,35,63069645
60,,4000,40,63066485
66,,3400,34,63065967
5,,3500,35,63065121
,,13,0.13,63063648
,,20,0.2,63063558
,,22,0.22,63063446
,,28,0.28,63063372
,,15,0.15,63063275
,,31,0.31,63063190
,,23,0.23,63063114
,,33,0.33,63063047
,,19,0.19,63062758
,,43,0.43,63062708
,,14,0.14,63062574
,,17,0.17,63062524
,,38,0.38,63062269
,,29,0.29,63062192
,,56,0.56,63062018
10,,7000,70,63061468
,,43,0.43,63061704
,,41,0.41,63061139
50,,5000,50,63059979
,,22,0.22,63059867
,,2000,20,
,,18000,180,63055917
,,6100,61,63053763
10,,3000,30,
6,,2400,24,63048749
,,8,0.08,63048603
5,,2500,25,
,,3500,35,63046446
,,1000,10,63045960
,,25,0.25,63043846
,,21,0.21,63039881
,,2500,25,
,,6039,60.39,63034281
,,5500,55,
5,,17500,175,
,,27,0.27,63032445
13,,700,7,
10,,1000,10,63018404
,,2,0.02,63017344
15,,2500,25,
,,5600,56,63015652
,,8,0.08,63015069
,,6000,60,
5,,3500,35,63010415
,,4400,44,63007403
,,6000,60,
12,,8800,88,63004236
,,2000,20,63001359
16,21.07,12507,104,62999072
,,3000,30,
,,2500,25,
15,,8500,85,
,,28,0.28,62990592
5,,3500,35,62989701
,,36,0.36,62986594
,,4400,44,62987088
,,36,0.36,62985893
,,28,0.28,62984155
,,29,0.29,62983946
,,45,0.45,62983805
,,42,0.42,62983627
,,41,0.41,62982982
,,42,0.42,62982599
,,7100,71,62983462
,,8,0.08,62979487
,,28,0.28,62978906
,,36,0.36,62978166
,,28,0.28,62978016
,,28,0.28,62976818
,,2200,22,
,,13,0.13,62975122
,,3000,30,
,,3500,35,62973029
,37.89,11289,75,62972847
,29.94,15000,120.06,62972549
,10,3500,25,62970273
5,,5500,55,62966479
,1.01,2101,20,62953771
,,2000,20,62950455
26,11.97,3597,24,62949961
5,,3500,35,62942272
76,,2400,24,62941744
5,50.12,66512,615,62940680
,,4400,44,62938271
,,20,0.2,62937968
,,28,0.28,62937539
,,13,0.13,62937188
,,2500,25,
,,2000,20,62936194
,,35,0.35,62935445
,,25,0.25,62933542
10,,5000,50,
,,25,0.25,62931561
,,2500,25,62928044
10,,1000,10,62925884
10,,5000,50,
,,5000,50,
,,3000,30,
,,8,0.08,62921523
,,913,9.13,62921162
,,26,0.26,62920441
,,1000,10,62917702
,,25,0.25,62916875
6,,4400,44,62915920
,,13,0.13,62915561
,82.79,17179,89,62916218
,,26,0.26,62905404
,,1500,15,62902052
15,,3500,35,62901651
,9.98,5000,40.02,62901540
,,8,0.08,62900988
,,28,0.28,62900566
,,30,0.3,62899997
,,17,0.17,62899908
,,8,0.08,62897023
,,26,0.26,62896462
18,,6200,62,62895301
,,1000,10,62894543
,,13,0.13,62893549
,,25,0.25,62897292
,,13,0.13,62891961
,,26,0.26,62891583
,,30,0.3,62891097
5,,3500,35,62890799
,,27,0.27,62897321
,,27,0.27,62888708
,,29,0.29,62888492
,,4200,42,62887598
14,,4600,46,62887220
15,,2500,25,
0.63,,37,0.37,62882898
3,,700,7,62881531
16,,2400,24,62881418
,,13,0.13,62881264
,5.01,3001,25,62879606
,,30,0.3,62877192
,,24500,245,62877005
,14,7000,56,62876416
,,36,0.36,62875987
2,,1800,18,62875744
,,4,0.04,62875157
,,25,0.25,62875133
,,8,0.08,62874922
,,1500,15,62897452
,,17,0.17,62874202
,,5,0.05,62873420
,,23,0.23,62873280
,,28,0.28,62872808
,,4,0.04,62871918
,,34,0.34,62871862
,,26,0.26,62871627
,,30,0.3,62871303
,,5,0.05,62870861
,,25,0.25,62870833
0.87,,4413,44.13,62870476
,,4,0.04,62869909
,,25,0.25,62869879
,,28,0.28,62869634
,,28,0.28,62869398
,,36,0.36,62869101
,,3,0.03,62868432
,,26,0.26,62868414
,,1,0.01,62868238
,,26,0.26,62867966
,,26,0.26,62868208
,,7,0.07,62867620
,,2100,21,62866682
,,13,0.13,62866544
,,13,0.13,62866158
10,,1000,10,62866018
45,,15500,155,62865780
,,13,0.13,62865725
,,38,0.38,62865649
,20,4500,25,62854284
1,,2400,24,62849489
1,12.04,7104,59,62848078
,,4000,40,62846790
,,2000,20,
15,,2500,25,
,,2000,20,
,25.2,12520,100,62844201
5,,3500,35,62840204
5,,3500,35,62836665
15,,2500,25,
10,,1000,10,62832675
,29.94,15000,120.06,62826303
,20,5000,30,
5,,9500,95,62811912
,,6000,60,
,,2000,20,
,,2000,20,
10,,7000,70,
5.98,9.98,10400,94.02,
2,,9800,98,
7,,3300,33,
16,,2400,24,
6,,2400,24,
,,4841,48.41,
10,,1000,10,
2,,9800,98,
,,4500,45,
,10,7000,60,
,,4000,40,
,,5000,50,
40,,6000,60,
,,3000,30,
5,,3500,35,
,9.96,7996,70,
,76.43,18143,105,
80,,2000,20,
,,2500,25,
,,500,5,62732220
10,,1000,10,62731961
12,,2800,28,62729823
,,7000,70,
,,1000,10,62726703
,91.14,19114,100,62725666
,9.98,5000,40.02,62724794
10,,1000,10,62723995
,,2400,24,62720525
,,1000,10,62720495
5,,3500,35,62717119
,65.42,13042,65,62714169
15,,4500,45,62710297
5,,10500,105,62709752
45,,5500,55,
,,4400,44,62707297
,,2000,20,62704417
10,,1000,10,62704109
,10,7000,60,62703937
7,,13300,133,62702282
,,5000,50,62696274
,9.98,5000,40.02,62693853
10,,13000,130,62693655
6,,5400,54,62683477
,,3500,35,62666941
,,1000,10,62665223
,11.99,5799,46,62659419
14,,2600,26,62657676
,,2000,20,62657301
,,4200,42,62656818
13,,6700,67,62656364
,,8500,85,62654705
,,14000,140,62653913
,19.96,11996,100,62652714
,,21,0.21,62647781
,,17,0.17,62646120
,,56,0.56,62645478
,,21000,210,62644745
,,700,7,
,,7000,70,
,221.4,40740,186,62642716
5,,9500,95,62637338
10,,3000,30,
5,,3500,35,
14,,6600,66,62635780
63,,3700,37,62635350
10,,5000,50,62634832
10,,1000,10,62624709
10,,5000,50,62621669
5,,3500,35,62618130
65,,3500,35,62617725
,,1400,14,62616805
,,3500,35,
10,,3000,30,
6,,3400,34,62609360
9,,16100,161,62608663
,,6000,60,
40,,16000,160,62605797
10,,5000,50,62605394
,120.01,20201,82,62597792
9.94,29.94,20000,170.06,62594114
,,4100,41,62588751
12,,2800,28,62587553
,,3000,30,
,5.01,4501,40,62586368
10,,5000,50,
15,,2500,25,62566496
,,2000,20,62565234
,,3200,32,
6,,2400,24,62562531
2,,6800,68,62560908
8,,1200,12,62559463
6,,6400,64,62555813
7,,3300,33,62555596
,,25100,251,62554176
6,,5400,54,62551297
,,8000,80,62547621
,,2000,20,62547440
,,1000,10,62543506
,15,10500,90,62543549
,,1500,15,62539867
,,6000,60,62518077
,,5000,50,62515988
2,,6300,63,62513220
6,,5400,54,62513063
2,,6800,68,62505066
,,2000,20,62498932
1,,4400,44,62491612
,,17000,170,62482143
,,6000,60,
,,8100,81,
,,6000,60,
,,1400,14,
,,3000,30,
,,2000,20,62464268
,,3000,30,
,,2800,28,62453665
10,,1000,10,62453220
,,1200,12,62450265
,5.01,10501,100,62450137
,110.21,41521,305,62448814
11,,6900,69,62447806
,,2500,25,
,,700,7,
15,,3500,35,62429052
16,,2400,24,62426397
,,2000,20,62423758
10,,5000,50,62423439
,,500,5,62423329
,,3000,30,62423260
,,2500,25,62422785
,,2000,20,62421780
,,1000,10,62421678
,,500,5,62420025
10,,5000,50,62419107
5,,17500,175,62418654
,,15000,150,
65,,3500,35,
,,4000,40,62417369
10,,1000,10,62416646
,9.98,14500,135.02,62414696
,,2100,21,
,,3500,35,
10,,3000,30,
16,,4400,44,62401158
,,900,9,62399954
,,10000,100,62390314
,,2500,25,
10,,1000,10,62384435
,,8000,80,62383594
10,,3000,30,62383075
15,,2500,25,
5,10.01,18501,175,62381269
8,,1200,12,62379846
,9.98,5000,40.02,62377833
10,,5000,50,62377047
,,3000,30,62376761
12,,2800,28,62372611
10,,5000,50,62371264
5,,3500,35,62365879
,,2500,25,
8,,5200,52,62345842
,,4800,48,62345075
,9.98,5000,40.02,62343789
,9.98,5000,40.02,62341962
,,2400,24,62338789
1,,3900,39,
5,,3500,35,62334553
,,2100,21,62334279
5,,3500,35,62330303
,,5000,50,62328677
,,2000,20,62328226
1,,9900,99,62327089
,,13500,135,62326392
,,3000,30,
,,1700,17,62320897
,,2000,20,
,,1000,10,62309489
10,,7000,70,62292060
,30.98,11398,83,62289462
,2.99,3299,30,62282544
,19.99,4499,25,62281887
16,,8400,84,62280756
11,,8900,89,62268119
,,3000,30,
12,,2800,28,62265493
,,9000,90,62264355
5,,1500,15,62264193
1,,5900,59,62262887
5,,1500,15,62259149
35,,16500,165,62256492
,,5000,50,62256309
25,,17500,175,62254033
5,,3500,35,
1,,3900,39,62248694
,,6500,65,62234703
,,2000,20,62233831
10,,5000,50,62230764
5,,9500,95,62226989
75,,2500,25,
10,,5000,50,62222829
,,2100,21,
10,,4000,40,62220789
3,,6700,67,62219126
13,,8700,87,62216803
,,3000,30,
6,,7400,74,62208925
,,6000,60,
,9.98,5000,40.02,62207767
15,,2500,25,
,,5000,50,
5,,3500,35,62190537
5,,5500,55,
42,,5800,58,62186234
3,,1700,17,62185880
5,,7500,75,62183160
5,,3500,35,62181711
,,2100,21,
2,,3800,38,62176820
,,7500,75,
2,,2800,28,62169563
,,5000,50,62167994
,,1000,10,62157080
,,2000,20,62152606
,,11000,110,
,,5000,50,62151712
,,700,7,
,,2100,21,
6,,1400,14,
,,2500,25,
1,,4900,49,62129159
,,2000,20,62127371
10,,5000,50,62126887
2.5,,35750,357.5,62126801
2,,1800,18,62125220
,,4400,44,62122702
,15,10500,90,62122645
3,,10200,102,62093498
1,,1400,14,
,,1000,10,62090494
,,2000,20,62089899
3,,13700,137,62087003
,,3000,30,
,,6000,60,
,,6500,65,62082831
13,,700,7,
,,500,5,62080554
15,,500,5,62080502
5,,3500,35,62079295
,,24700,247,62076646
3.98,13.98,13000,116.02,
11,,14900,149,62062065
4,,15600,156,62059930
,,10000,100,
10,,3000,30,
8,,7200,72,62050831
17.98,9.98,9200,82.02,62049591
8,,15200,152,62047498
,29.94,15000,120.06,62047135
,,3000,30,
5,,3500,35,
58,,4200,42,62044183
,,8000,80,62042368
1,,3900,39,
15,,2500,25,62036924
,,5000,50,62036217
,,2000,20,
,,3000,30,62022892
4,,5600,56,62022705
10,,5000,50,62022581
15,,2500,25,
,,1400,14,
10,,5000,50,62012382
,,6000,60,
,,6000,60,
17,,2300,23,62004914
13,,700,7,
31.98,9.98,7800,68.02,62000953
10,,5000,50,61999862
,,2500,25,
5,,3500,35,61997720
,,10000,100,61997104
,,2000,20,61996651
,9.98,5000,40.02,61996384
,,2500,25,
6,,3400,34,61995274
,,3500,35,
15,,2500,25,
,,6000,60,
2,,9800,98,61989956
,,3000,30,
7.98,9.98,9200,82.02,61987897
10,,3000,30,
10,,3000,30,61984889
,,6000,60,61984376
,,4000,40,61983251
,,1000,10,61982232
,,5000,50,61981875
,29.94,15000,120.06,61975981
10,,1000,10,61974600
,,9500,95,61971910
5,,7500,75,61962566
10,,3000,30,
,,8000,80,61959508
4,,8800,88,61952227
5,,3500,35,
,10.02,2002,10,61947557
10,,3000,30,61947068
,,14700,147,
,,2500,25,
4,,7100,71,61937533
6,,1400,14,
2,,3300,33,61934064
5,,2500,25,61933577
10,,11000,110,61933469
10,,3000,30,61930618
,,8000,80,61930471
10,,5000,50,61925896
11,,2900,29,61925227
,,3000,30,61923738
,,2100,21,61920191
55,,4500,45,61918625
,,3500,35,
,,1000,10,61914395
3,,1700,17,61913050
,,3500,35,61902391
,,10000,100,
51,65.99,13599,70,61899958
,5,1000,5,61896527
10,,3000,30,61894986
1,12.04,7104,59,61892915
,,3500,35,61892442
,,14600,146,61892232
,15.03,9003,75,61887885
1,,3400,34,61887423
17,,2300,23,61886938
,12,6400,52,61886794
,,3200,32,61884547
75,5.01,3001,25,61882354
,,2000,20,61882096
6,,3400,34,61878521
,5.01,3001,25,61878491
4,12.02,8802,76,61876652
15,,8500,85,61875571
10,,3000,30,61873998
16,,2400,24,61873349
5,,3500,35,
,,2000,20,61870814
15,,6500,65,61870547
,,4500,45,61867475
7,4.98,9798,93,61863405
,,2500,25,
7,,3300,33,61852045
1,,1900,19,61850374
,,3000,30,61849034
16,,2400,24,61847831
2,,10800,108,61847590
,10.02,2002,10,61846847
,23.01,5301,30,61843811
,,2600,26,61842307
,,7000,70,
,78.23,50823,430,61840143
,5,2500,20,
10,,3000,30,61838284
10,,3000,30,61838069
,,1200,12,61837708
,,8800,88,61835149
5,5,6000,55,61833185
11,,2900,29,61831822
10,,3000,30,61831318
12,28.97,9697,68,61829662
,,2000,20,61828006
,,4000,40,61827929
3,,2200,22,61826806
10,,3000,30,61826586
,,6000,60,61824695
40,,6000,60,61822537
,,6000,60,61820845
15,,20500,205,61818899
,80.03,14503,65,
15,,14500,145,61818142
,10,3000,20,
16,,2400,24,61806469
,253.21,50321,250,61805506
,,3000,30,61789942
,,2400,24,61789895
2,,5800,58,61784417
,,8500,85,61778796
5,,3500,35,61775452
10,,1000,10,61773223
,,3500,35,
5,,3500,35,61755107
1,,3900,39,
5,,5500,55,61746406
10,,17000,170,61744869
,,3500,35,61743031
5,,15500,155,61742525
,,9200,92,
25,45.07,32007,275,61739757
,,5000,50,61739027
10,,11000,110,61724429
46,,5400,54,61721895
10,,3000,30,
,,3000,30,
10,,3000,30,61717499
3,,4700,47,61717441
5,,3500,35,61712540
,,4200,42,61710595
,,13600,136,61706549
,,5900,59,61698244
13,,700,7,61695891
,,700,7,61696157
,9.99,9499,85,61694628
66,,3400,34,61684322
30,,7000,70,61683672
,,5500,55,61683430
,,5000,50,
6,,3400,34,61671647
,,5500,55,
10,,1000,10,61666718
,,2000,20,
,6.02,7102,65,61664451
3,,1700,17,61663080
,10.02,2002,10,61662427
,,1700,17,61657275
12,,4800,48,61656475
,,3500,35,61656283
,,4200,42,61653008
,,10000,100,61652675
,,6000,60,61641922
9,,5100,51,61640771
,,4400,44,61637958
,10.07,31007,300,61636405
,,10500,105,61635913
7,,3300,33,61635770
5,,3500,35,61632205
,,4000,40,61624202
,,7000,70,
2,,9800,98,61621854
4,,3600,36,61621332
43,,4200,42,61620772
8,,1200,12,61620437
5,,3500,35,61618953
10,,3000,30,61618926
,12,6100,49,61609517
17,,2300,23,61609336
10,,15000,150,61596582
,,10000,100,
3,12.01,9401,82,61592100
,,3000,30,61588257
16,,4400,44,61587898
,,2000,20,
4,,2100,21,61585216
10,,3000,30,61582152
8,,1200,12,61581647
2,,5800,58,61580981
5,,3500,35,61575424
,,2000,20,
,,2300,23,61574126
,,4900,49,61571334
,,3000,30,
15,,2500,25,
4,,5600,56,61567651
10,,3000,30,
,,10900,109,61548482
15,,4500,45,61545850
55,,4700,47,61542260
4,,1600,16,61540408
2,,3300,33,61537252
75,,2500,25,61536565
,,6800,68,61535192
5,,3500,35,61534636
7,,7300,73,61534443
10,10.02,2002,10,61533211
,,9000,90,
,,1000,10,61526380
18,,4200,42,61522712
33,,6700,67,61522818
,,1000,10,61519764
2,,5800,58,61518594
1,,5900,59,61510484
2,,2300,23,61504203
16,11.97,3597,24,61503950
,,5100,51,61503846
,,1700,17,61517527
